Classification, Size(Å²)
+, 99.1482
i, 104.898
-, 38.5707
o, 3731.46
o, 233.72
+, 12.2215
+, 43.8956
i, 154.654
i, 59.0663
-, 48.0116
+, 159.71
i, 511.676
+, 222.035
i, 234.644
-, 23.0967
-, 120.468
i, 58.2833
+, 70.8483
i, 81.9442
+, 61.802
i, 216.718
+, 77.3427
-, 69.2759
i, 44.0784
i, 1293.18
+, 96.394
+, 83.8306
i, 84.3796
-, 9.47854
+, 105.55
-, 13.6104
i, 95.9836
-, 61.5407
-, 128.174
i, 74.1491
i, 37.7843
-, 50.3386
i, 14.1176
-, 32.5869
-, 22.9136
-, 49.4166
i, 97.3342
+, 159.31
i, 149.225
+, 11.0622
+, 137.607
-, 61.9269
i, 106.377
-, 8.56473
-, 43.4449
o, 370.74
+, 108.647
+, 114.87
-, 59.8494
o, 61.2316
o, 49.8972
o, 84.696
-, 65.2858
o, 249.249
-, 46.0539
o, 83.9458
o, 55.6584
+, 85.6035
o, 37.1783
-, 78.1687
+, 5.31418
+, 43.4823
-, 8.0136
o, 30.6494
o, 160.98
-, 7.13945
o, 20.0315
+, 10.6145
i, 33.2071
+, 9.80043
