Classification, Size(Å²)
o, 150.878
i, 122.094
+, 141.622
i, 541.082
+, 258.526
-, 26.1748
o, 511.456
o, 315.607
+, 224.234
o, 42.4719
-, 20.8758
-, 49.865
i, 9.28495
i, 6.31316
+, 418.353
-, 71.6356
-, 110.023
o, 296.524
+, 72.5397
o, 104.218
+, 390.649
-, 112.557
o, 14.8373
-, 20.0571
o, 6.03224
o, 70.1171
o, 53.0574
-, 61.4532
i, 30.9011
o, 3.81648
+, 8.10131
-, 74.7843
+, 33.8915
-, 50.3666
+, 84.274
i, 1924.87
i, 27.8014
i, 31.1186
-, 13.4566
+, 50.0256
-, 72.5967
i, 4.28736
-, 38.5684
+, 70.1007
-, 125.121
i, 207.677
+, 71.8595
-, 135.836
+, 7.75211
+, 37.4688
o, 59.2601
+, 111.315
-, 59.4955
+, 56.3025
+, 83.0313
-, 100.454
+, 49.4425
i, 250.63
+, 57.4894
i, 297.199
i, 22.4266
-, 138.109
i, 27.2663
-, 115.21
i, 15.3325
o, 64.4213
i, 13.5596
+, 72.5071
i, 45.6987
o, 125.349
-, 182.371
-, 34.3242
+, 279.314
o, 142.118
o, 377.411
+, 34.7612
+, 694.122
-, 78.0586
+, 55.2305
-, 84.9962
-, 12.3398
o, 52.418
+, 7.92108
o, 111.746
-, 85.2766
o, 193.664
+, 83.3282
-, 76.3168
+, 52.0123
+, 184.693
-, 33.4307
o, 68.4019
o, 126.046
o, 25.5062
-, 46.1826
-, 12.628
o, 18.9752
+, 84.8239
i, 537.983
o, 14.4004
+, 161.863
-, 92.6885
-, 166.818
i, 145.118
i, 87.2831
+, 463.089
i, 13.4127
o, 6.30052
o, 75.5427
i, 15.2849
o, 24.2436
-, 89.145
o, 2828.35
+, 72.3316
o, 81.4018
-, 14.1301
i, 228.535
o, 45.6648
-, 14.0632
+, 25.1866
o, 32.6605
o, 73.0821
o, 59.8136
+, 69.5999
o, 145.279
i, 55.0428
i, 669.686
o, 32.9714
o, 81.3651
-, 380.61
i, 29.0286
o, 39.4619
i, 113.017
-, 87.2066
-, 88.3322
i, 10.9002
+, 89.2696
i, 42.8811
+, 527.354
i, 67.9139
i, 33.202
-, 89.211
i, 30.379
-, 43.1476
-, 58.4987
o, 114.93
-, 25.0328
o, 6.80875
o, 10.9399
i, 8.27185
+, 80.7288
i, 25.7141
-, 200.239
+, 456.408
o, 166.284
+, 123.69
-, 78.3613
-, 5.84832
o, 84.354
+, 53.1977
-, 151.473
o, 30.2868
o, 25.4073
i, 75.4124
-, 56.2576
o, 163.043
o, 147.357
-, 152.255
i, 216.675
-, 79.5412
i, 98.8969
i, 472.957
-, 443.574
i, 675.314
+, 241.749
+, 118.086
-, 63.9327
-, 55.1433
i, 50.3889
-, 6.24679
-, 104.171
+, 243.581
+, 73.8902
i, 54.5396
i, 106.262
i, 49.3573
+, 57.839
-, 53.3748
-, 193.338
-, 64.4902
i, 64.8341
i, 48.1311
-, 185.957
+, 71.4367
-, 53.3859
i, 11.3345
-, 129.214
-, 104.227
i, 66.8387
+, 116.02
i, 676.054
-, 137.128
-, 219.705
-, 196.777
i, 104.932
i, 10.3807
-, 5.83193
-, 62.2752
-, 54.667
i, 10.8219
+, 183.056
+, 223.607
-, 137.061
i, 108.097
-, 53.886
-, 110.589
i, 46.3716
i, 10.5458
i, 9.41615
-, 106.141
+, 194.612
i, 17.7451
-, 94.1515
i, 51.9343
-, 146.838
+, 26.5586
-, 14.7941
o, 79.9989
o, 139.203
-, 7.36449
o, 37.8364
o, 13.4612
-, 8.25668
